item_id,item_name
1053,Green halloween mask
1055,Blue halloween mask
1057,Red halloween mask
1153,Iron full helm
1155,Bronze full helm
1157,Steel full helm
1159,Mithril full helm
1161,Adamant full helm
1163,Rune full helm
1165,Black full helm
1506,Gas mask
2587,Black full helm (t)
2595,Black full helm (g)
2605,Adamant full helm (t)
2613,Adamant full helm (g)
2619,Rune full helm (g)
2627,Rune full helm (t)
2657,Zamorak full helm
2665,Saradomin full helm
2673,Guthix full helm
3486,Gilded full helm
4551,Spiny helmet
4611,Desert disguise
4724,Guthan's helm
4732,Karil's coif
4745,Torag's helm
4753,Verac's helm
4904,Guthan's helm 100
4905,Guthan's helm 75
4906,Guthan's helm 50
4907,Guthan's helm 25
4908,Guthan's helm 0
4928,Karil's coif 100
4929,Karil's coif 75
4930,Karil's coif 50
4931,Karil's coif 25
4932,Karil's coif 0
4952,Torag's helm 100
4953,Torag's helm 75
4954,Torag's helm 50
4955,Torag's helm 25
4956,Torag's helm 0
4976,Verac's helm 100
4977,Verac's helm 75
4978,Verac's helm 50
4979,Verac's helm 25
4980,Verac's helm 0
5554,Rogue mask
5574,Initiate sallet
6188,Frog mask
6623,White full helm
7534,Fishbowl helmet
7594,Zombie mask
8464,Rune heraldic helm
8466,Rune heraldic helm
8468,Rune heraldic helm
8470,Rune heraldic helm
8472,Rune heraldic helm
8474,Rune heraldic helm
8476,Rune heraldic helm
8478,Rune heraldic helm
8480,Rune heraldic helm
8482,Rune heraldic helm
8484,Rune heraldic helm
8486,Rune heraldic helm
8488,Rune heraldic helm
8490,Rune heraldic helm
8492,Rune heraldic helm
8494,Rune heraldic helm
8682,Steel heraldic helm
8684,Steel heraldic helm
8686,Steel heraldic helm
8688,Steel heraldic helm
8690,Steel heraldic helm
8692,Steel heraldic helm
8694,Steel heraldic helm
8696,Steel heraldic helm
8698,Steel heraldic helm
8700,Steel heraldic helm
8702,Steel heraldic helm
8704,Steel heraldic helm
8706,Steel heraldic helm
8708,Steel heraldic helm
8710,Steel heraldic helm
8712,Steel heraldic helm
9096,Lunar helm
9629,Tyras helm
9672,Proselyte sallet
9920,Jack lantern mask
11335,Dragon full helm
11847,Black h'ween mask
11864,Slayer helmet
11865,Slayer helmet (i)
12211,Bronze full helm (g)
12221,Bronze full helm (t)
12231,Iron full helm (t)
12241,Iron full helm (g)
12249,Imp mask
12251,Goblin mask
12283,Mithril full helm (g)
12293,Mithril full helm (t)
12363,Bronze dragon mask
12365,Iron dragon mask
12367,Steel dragon mask
12369,Mithril dragon mask
12371,Lava dragon mask
12417,Dragon full helm (g)
12466,Ancient full helm
12476,Armadyl full helm
12486,Bandos full helm
12518,Green dragon mask
12520,Blue dragon mask
12522,Red dragon mask
12524,Black dragon mask
12810,Ironman helm
12813,Ultimate ironman helm
12845,Grim reaper hood
12887,Santa mask
12892,Antisanta mask
13140,Kandarin headgear 4
13283,Gravedigger mask
13359,Shayzien helm (1)
13364,Shayzien helm (2)
13369,Shayzien helm (3)
13374,Shayzien helm (4)
13379,Shayzien helm (5)
19639,Black slayer helmet
19641,Black slayer helmet (i)
19643,Green slayer helmet
19645,Green slayer helmet (i)
19647,Red slayer helmet
19649,Red slayer helmet (i)
19915,Cyclops head
19991,Bucket helm
20020,Lesser demon mask
20023,Greater demon mask
20026,Black demon mask
20029,Old demon mask
20032,Jungle demon mask
20035,Samurai kasa
20059,Bucket helm (g)
20080,Mummy's head
20095,Ankou mask
20178,Steel full helm (g)
20193,Steel full helm (t)
20266,Black unicorn mask
20269,White unicorn mask
20561,Adamant full helm
20563,Proselyte sallet
20595,Elder chaos hood
20708,Pyromancer hood
20773,Banshee mask
20792,Hardcore ironman helm
20838,Corrupted helm
21264,Purple slayer helmet
21266,Purple slayer helmet (i)
21298,Obsidian helmet
21719,Jonas mask
21720,Jonas mask
21722,Diving helmet
21847,Snow imp costume head
21888,Turquoise slayer helmet
21890,Turquoise slayer helmet (i)
22159,Adamant heraldic helm
22161,Adamant heraldic helm
22163,Adamant heraldic helm
22165,Adamant heraldic helm
22167,Adamant heraldic helm
22169,Adamant heraldic helm
22171,Adamant heraldic helm
22173,Adamant heraldic helm
22175,Adamant heraldic helm
22177,Adamant heraldic helm
22179,Adamant heraldic helm
22181,Adamant heraldic helm
22183,Adamant heraldic helm
22185,Adamant heraldic helm
22187,Adamant heraldic helm
22189,Adamant heraldic helm
22326,Justiciar faceguard
22689,Clown mask
22713,Star-face
23073,Hydra slayer helmet
23075,Hydra slayer helmet (i)
23101,Ornate helm
23252,Giant boot
23270,Adamant dragon mask
23273,Rune dragon mask
23448,Bunnyman mask
23636,Verac's helm
23637,Torag's helm
23638,Guthan's helm
23785,Ardougne knight helm
23840,Corrupted helm (basic)
23841,Corrupted helm (attuned)
23842,Corrupted helm (perfected)
24034,Dragonstone full helm
24300,Spooky hood
24305,Spooky hood
24315,Spookier hood
24370,Twisted slayer helmet
24419,Inquisitor's great helm
24444,Twisted slayer helmet (i)
24975,Headless head
25165,Decorative full helm
25169,Decorative full helm
25174,Decorative full helm
25176,Decorative full helm (l)
25177,Slayer helmet (i)
25179,Black slayer helmet (i)
25181,Green slayer helmet (i)
25183,Red slayer helmet (i)
25185,Purple slayer helmet (i)
25187,Turquoise slayer helmet (i)
25189,Hydra slayer helmet (i)
25191,Twisted slayer helmet (i)
25336,Gnome child mask
25898,Tztok slayer helmet
25900,Tztok slayer helmet (i)
25902,Tztok slayer helmet (i)
25904,Vampyric slayer helmet
25906,Vampyric slayer helmet (i)
25908,Vampyric slayer helmet (i)
25910,Tzkal slayer helmet
25912,Tzkal slayer helmet (i)
25914,Tzkal slayer helmet (i)
26225,Ancient ceremonial mask
26241,Virtus mask
26382,Torva full helm
26427,Shattered hood (t1)
26439,Shattered hood (t2)
26451,Shattered hood (t3)
26674,Slayer helmet (i)
26675,Black slayer helmet (i)
26676,Green slayer helmet (i)
26677,Red slayer helmet (i)
26678,Purple slayer helmet (i)
26679,Turquoise slayer helmet (i)
26680,Hydra slayer helmet (i)
26681,Twisted slayer helmet (i)
26682,Tztok slayer helmet (i)
26683,Vampyric slayer helmet (i)
26684,Tzkal slayer helmet (i)
26735,Saika's shroud
26736,Saika's shroud (l)
26741,Koriff's coif
26742,Koriff's coif (l)
26745,Maoma's full helm
26746,Maoma's full helm (l)
26747,Maoma's great helm
26748,Maoma's great helm (l)
27119,Elder chaos hood (or)
27176,Elder chaos hood
27195,Inquisitor's great helm
27226,Masori mask
27235,Masori mask (f)
27370,Mask of rebirth
28254,Sanguine torva full helm
28788,Snowglobe helmet
28933,Sunfire fanatic helm
29560,Elite black full helm
29566,Dark squall hood
29816,Araxyte slayer helmet
29818,Araxyte slayer helmet (i)
29820,Araxyte slayer helmet (i)
29822,Araxyte slayer helmet (i)
29868,Emissary hood
30111,Helmet of the moon
30237,Beige pumpkin (disgusted)
30239,Beige pumpkin (silly)
30241,Beige pumpkin (evil)
30242,Beige pumpkin (angry)
30243,Beige pumpkin (depressed)
30244,Beige pumpkin (shocked)
30245,Beige pumpkin (sad)
30246,Beige pumpkin (happy)
30247,Beige pumpkin (laughing)
30248,White pumpkin (disgusted)
30249,White pumpkin (silly)
30250,White pumpkin (evil)
30251,White pumpkin (angry)
30252,White pumpkin (depressed)
30253,White pumpkin (shocked)
30254,White pumpkin (sad)
30255,White pumpkin (happy)
30256,White pumpkin (laughing)
30257,Yellow pumpkin (disgusted)
30258,Yellow pumpkin (silly)
30259,Yellow pumpkin (evil)
30260,Yellow pumpkin (angry)
30261,Yellow pumpkin (depressed)
30262,Yellow pumpkin (shocked)
30263,Yellow pumpkin (sad)
30264,Yellow pumpkin (happy)
30265,Yellow pumpkin (laughing)
30266,Orange pumpkin (disgusted)
30267,Orange pumpkin (silly)
30268,Orange pumpkin (evil)
30269,Orange pumpkin (angry)
30270,Orange pumpkin (depressed)
30271,Orange pumpkin (shocked)
30272,Orange pumpkin (sad)
30273,Orange pumpkin (happy)
30274,Orange pumpkin (laughing)
30275,Red pumpkin (disgusted)
30276,Red pumpkin (silly)
30277,Red pumpkin (evil)
30278,Red pumpkin (angry)
30279,Red pumpkin (depressed)
30280,Red pumpkin (shocked)
30281,Red pumpkin (sad)
30282,Red pumpkin (happy)
30283,Red pumpkin (laughing)
30284,Dark green pumpkin (disgusted)
30285,Dark green pumpkin (silly)
30286,Dark green pumpkin (evil)
30287,Dark green pumpkin (angry)
30288,Dark green pumpkin (depressed)
30289,Dark green pumpkin (shocked)
30290,Dark green pumpkin (sad)
30291,Dark green pumpkin (happy)
30292,Dark green pumpkin (laughing)
30293,Powder grey pumpkin (disgusted)
30294,Powder grey pumpkin (silly)
30295,Powder grey pumpkin (evil)
30296,Powder grey pumpkin (angry)
30297,Powder grey pumpkin (depressed)
30298,Powder grey pumpkin (shocked)
30299,Powder grey pumpkin (sad)
30300,Powder grey pumpkin (happy)
30301,Powder grey pumpkin (laughing)
30302,Torva full helm
30479,Present box hat
30481,Present box hat
30483,Present box hat
30485,Present box hat
30487,Dog disguise
30750,Oathplate helm
30777,Radiant oathplate helm
30947,Potato sack
31298,Deep sea helmet
31401,Deep sea helmet
33066,Hooded slayer helmet
33068,Hooded slayer helmet (i)
33070,Hooded slayer helmet (i)
33072,Hooded slayer helmet (i)
33284,Demonic hood (t3)
33338,Oathplate slayer helmet
33340,Radiant slayer helmet
33439,Oathplate slayer helmet (i)
33441,Oathplate slayer helmet (i)
33443,Oathplate slayer helmet (i)
33445,Radiant slayer helmet (i)
33447,Radiant slayer helmet (i)
33449,Radiant slayer helmet (i)
33462,Oathplate helm
