item_ids,item_name,model_y,model_scale,model_x,model_z,model_pitch,model_yaw,model_roll,model_width,model_face_height,model_depth,animation_frame_offset,mask_y,mask_pitch,mask_yaw,mask_roll,status,notes
3751;27169,Berserker helm,15,100,0,-9,0,0,0,115,85,100,0,0,0,20,0,tested,Saved from live config on 2026-07-22
11864;11865,Slayer helmet,7,100,0,-9,0,0,0,115,100,100,0,0,0,0,0,hidden,Full-face helmet disables the replacement model
11826;26714,Armadyl helmet,13,109,0,-8,0,0,0,100,76,89,0,0,0,0,0,tested,Saved from live config on 2026-07-22
12929;12931;13196;13197;13198;13199,Serpentine helm,7,100,0,-9,0,0,0,115,100,100,0,0,20,36,0,hidden,Full-face helmet disables the replacement model
11200,Dwarven helmet,7,100,0,-9,0,0,0,115,100,100,0,0,0,0,0,untested,Initial calibration
12013;25549;29472,Prospector helmet,15,100,0,-9,0,0,0,103,85,100,0,0,0,0,0,tested,Saved from live config on 2026-07-22
24271,Neitiznot faceguard,7,100,0,-9,0,0,0,115,100,100,0,6,0,0,0,hidden,Full-face helmet disables the replacement model
23886;23887;23888;23971;23973;25495;27705;27707;27717;27719;27729;27731;27741;27743;27753;27755;27765;27767;27777;27779;33031;33033;33170,Crystal helm,15,96,0,-7,0,0,0,80,90,68,0,0,25,19,0,tested,Saved from live config on 2026-07-22
3755;20573,Farseer helm,11,100,0,-9,0,0,0,115,100,100,0,0,0,0,0,tested,Saved from live config on 2026-07-22
1149;6967;28057,Dragon med helm,15,100,0,-10,0,0,0,100,75,100,0,0,0,0,0,tested,Saved from live config on 2026-07-22
29010;29035;29055;29842,Eclipse moon helm,7,100,0,-9,0,0,0,115,100,100,0,0,0,0,0,untested,Face remains visible; requires calibration
4716;4880;4881;4882;4883;4884;23639,Dharok's helm,7,100,0,-9,0,0,0,115,100,100,0,0,0,0,0,untested,Face remains visible; includes degraded variants
30321;30324,Zombie helmet,16,100,-1,-7,0,0,0,112,77,120,0,0,0,0,0,tested,Saved from live config on 2026-07-22
29028;29047;29073;29848,Blood moon helm,7,100,0,-9,0,0,0,115,100,100,0,0,0,0,0,untested,Face remains visible; requires calibration
29019;29041;29064;29845,Blue moon helm,15,96,0,-7,0,0,0,110,90,100,0,0,0,0,0,tested,Saved from live config on 2026-07-22
11850;11851;13579;13580;13591;13592;13603;13604;13615;13616;13627;13628;13667;13668;21061;21063;24743;24745;25069;25071;27444;27446;30045;30047,Graceful hood,14,100,0,-9,0,0,0,97,90,120,0,0,0,0,0,tested,Saved from live config on 2026-07-22
11665;20481;24185;26477;27007;33464;33466,Void melee helm,13,103,0,-7,0,0,0,100,100,110,0,0,0,0,0,tested,Saved from live config on 2026-07-22
11663;20477;24183;26473;27005;33468;33470,Void mage helm,7,100,0,-9,0,0,0,100,100,100,0,0,20,0,0,tested,Mask calibration saved on 2026-07-23
11664,Void ranger helm,13,103,0,-7,0,0,0,111,100,110,0,0,0,0,0,tested,Saved from live config on 2026-07-22
1147,Rune med helm,14,100,-1,-7,0,0,0,105,77,120,0,0,0,0,0,tested,Saved from live config on 2026-07-22
9733,Mind helmet,13,100,0,-9,0,0,0,103,85,100,0,0,0,0,0,tested,Saved from live config on 2026-07-22
10941,Lumberjack hat,17,100,0,-10,0,0,0,110,85,107,0,-5,0,0,0,tested,Saved from live config on 2026-07-22
6392,Menaphite purple hat,13,100,0,-9,0,0,0,110,85,100,0,0,0,0,0,tested,Saved from live config on 2026-07-22
579,Blue wizard hat,15,96,-1,-7,0,0,0,125,77,120,0,0,0,0,0,tested,Saved from live config on 2026-07-22
